PC1,PC2,PC3,PC4,PC5,SeriousDlqin2yrs
-0.057855477,-1.546669022,-0.543438687,0.126152579,0.062806053,1
-0.416814081,-1.873800936,-0.063296184,0.213153551,0.062840434,1
-0.087447995,-1.669519157,-0.373156545,0.139267753,0.124819519,1
0.120760443,-0.5175474,0.876859481,0.099259274,-0.111936092,1
-0.005167999,-1.161502838,0.108857812,0.074749514,0.102055169,1
-0.091855625,-1.71998363,-0.358520042,0.10182443,0.119734371,1
0.258062169,1.439842298,-1.058149762,0.085843794,0.090401291,1
0.150412205,-0.504801861,1.681528965,-1.373732283,-0.343392407,1
0.189013496,0.410908347,-0.251136836,0.333358461,-0.020406992,1
0.066874289,-0.720292099,0.631178481,0.358524734,0.050235859,1
0.058124079,-0.434965267,-1.067906077,-0.059978878,0.054055728,1
-0.168542685,-2.288040511,-0.620403016,0.078806795,0.115564691,1
0.186552596,0.782593029,-0.02731601,0.18935146,0.086554897,1
-0.069591168,-1.693063448,0.031358976,0.136517572,0.069414332,1
-0.039039743,-1.22923894,-0.342276033,0.328027796,0.136989162,1
0.252229243,0.433688849,1.103956681,-0.207523939,0.02792788,1
-0.078369984,0.67413828,1.018692465,-0.131480895,0.052005862,1
0.200128924,0.55522008,0.690312426,-0.01855519,0.000662874,1
0.202315447,0.374155807,1.041536185,0.29440862,0.001603377,1
-0.357836137,-0.10705485,-0.080481415,-0.062802351,0.035656103,1
-0.004831483,0.277481823,0.205108725,-0.107040978,0.121182853,1
-0.058167954,-1.271252957,-1.079846269,0.42770696,0.126086401,1
-0.101323922,-1.671793665,-1.114844504,0.165581975,0.122049087,1
0.228201152,1.346272577,-1.436328529,0.105535313,0.123047654,1
0.221473186,1.632250609,1.685872387,-0.216323019,0.046373473,1
0.041928852,-0.325750777,1.386391726,-8.305746744,-1.618196303,1
0.061019754,-0.633536368,0.444536042,0.147649949,0.017312045,1
-0.156358326,-2.22141831,-0.495478663,0.197750436,0.093251618,1
0.107095962,-0.179312776,0.456260837,0.552216904,0.014957351,1
-0.04449872,-0.071836796,-0.311290873,0.450319764,0.11050554,1
0.085747499,-0.702443065,1.065082194,0.067479579,-0.058669606,1
0.189371542,0.30947441,0.87268436,0.086424055,0.029503014,1
0.056070755,-1.134566322,1.330195972,0.330849975,-0.05903324,1
0.213399053,0.562653877,0.898291994,-0.159817928,-0.014228553,1
0.071401239,-0.856908891,1.145892429,0.146363976,-0.082478619,1
-0.041906032,1.124685329,0.268645201,-0.099947046,0.081207959,1
-0.300246503,-2.091678183,-0.508324153,0.069656794,0.117931394,1
0.273931274,1.117430568,-0.691060797,0.066427298,0.015529523,1
0.084347575,0.079164535,-0.991900707,0.094342611,0.076038551,1
0.115284636,-0.115082362,-1.231011618,-8.704972317,-1.463206281,1
-0.034709692,-1.334717822,-0.058182014,0.195768393,0.103284925,1
0.145130215,0.405631158,-1.125932152,-0.400623502,0.063437357,1
0.281432308,1.42667478,-0.109404411,0.004996684,0.067102298,1
0.086319102,-0.706570591,1.109504989,0.155755395,-0.06896083,1
0.237984934,1.003818985,-0.632714246,0.204629427,0.077231478,1
0.317257364,1.463999798,0.897856677,-0.35832642,0.063486323,1
0.03894366,-0.522530191,-0.310274033,-0.117300714,0.136582888,1
0.151008118,0.016555538,0.259321588,-0.011137936,0.008609955,1
-0.108558137,-1.114448235,1.198372308,0.160044181,-0.029580471,1
0.12798903,-2.14386973,-0.685869046,-40.50768037,-7.66694063,1
-0.08003166,-1.614319615,-0.827688333,0.141600171,0.091756768,1
0.105938237,-0.801579988,1.59508229,0.396877677,-0.073914586,1
0.040406816,-0.547486235,-0.209167901,-0.055219138,0.117975947,1
0.030225359,-0.868598678,-0.306146697,0.127972139,0.079727269,1
0.129381392,-0.140345128,0.720811136,0.218489792,0.011653525,1
0.155336159,-0.442967237,1.80181407,0.492768033,-0.082222291,1
0.261852122,1.146397086,0.768897601,-0.047700359,-0.050862494,1
0.283686201,1.161690537,0.545967163,0.086805215,-0.03522007,1
0.128386484,0.229665471,0.05354676,0.202782669,0.039691726,1
0.0786931,-0.182289593,-0.568392515,-0.075736994,0.021173053,1
0.1103086,-0.637230059,1.308763168,0.36803597,-0.025962038,1
-0.128234656,-2.064370293,-0.323552881,0.064053423,0.096270434,1
0.121265398,0.263704603,-0.273477024,-0.206748233,0.111542094,1
0.187101999,-0.087129394,1.504658768,-0.008778545,0.01446615,1
0.110859512,1.526343681,-1.862728924,0.242086593,0.003106447,1
0.075880423,-0.68060923,0.812944661,0.035111577,-0.02182224,1
0.332854245,2.057123909,-0.056058274,-0.153898555,0.202496936,1
0.19009575,0.235498545,1.003300279,-0.093346664,0.026729662,1
0.034122045,-1.53093415,1.734993866,0.177449079,-0.122661665,1
0.155661414,-0.529663019,1.411490723,0.083776267,-0.097309497,1
0.167266615,0.204950118,-0.363470715,-0.186253308,0.021910407,1
0.16123902,0.326390623,0.481290438,0.175172846,-0.003620877,1
0.348143309,1.819786757,0.226220414,-0.407660438,0.084369438,1
0.083246888,-0.503354437,0.609133528,0.199642478,0.001313342,1
0.40541309,2.489404184,-1.069186327,-0.345437947,0.106637741,1
0.204206358,1.112484123,-1.383001442,0.137388306,0.100566329,1
